@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
3,272,306,0,0,3900,0
4,75363,1,79,153,3607,0
3,2012,2031,0,0,71226,0
1,205,122,0,0,7609,0
4,307667,316,183,216,33957,0
5,10069355,0,2654,4951,1156,0
4,464658,298,91,177,9035,0
4,51365,13,9,18,19035,0
2,1550,697,0,0,29046,0
4,166363,247,29,49,1740,0
3,5222,551,0,1,6912,0
5,369890,355,43,113,6539,0
1,661,801,0,0,4626,0
4,35982,98,2,5,11448,0
3,473,884,0,0,9727,0
3,24198,1579,1,1,12994,0
2,4055,1083,0,0,137433,0
5,2283969,90,304,1635,1362,0
4,27251,492,1,2,5057,0
4,676945,120,156,214,567,0
3,135429,9635,0,2,113947,0
3,38494,6872,21,69,24801,0
4,130520,6093,56,133,42430,0
2,776,735,0,0,20873,0
5,367462,811,8,16,58491,0
1,70,117,0,0,1157,0
3,10498,1458,3,3,20712,0
2,8258,8913,0,0,72043,0
4,173716,3,104,226,2787,0
5,1875520,189,97,170,4450,0
4,58207,2159,4,7,84477,0
4,101984,1589,9,13,8720,0
2,836,710,0,0,31150,0
2,718,795,0,0,21232,0
2,2236,1426,1,0,24085,0
1,696,523,1,0,4931,0
2,1964,1693,1,0,58995,0
2,2000,705,0,0,103316,0
3,25267,318,125,116,30620,0
3,8490,840,2,1,29862,0
2,5380,3415,0,0,5594,0
5,957213,487,1306,2274,9220,0
4,136668,5887,3,8,103796,0
3,62492,48,186,376,6638,0
2,504,441,0,2,7998,0
4,554411,461,56,285,38856,0
3,31472,106,22,52,7171,0
2,1030,699,0,0,82248,0
3,11979,810,2,9,36263,0
5,816656,36524,71,124,232576,0
4,59006,1184,15,30,42380,0
3,10942,682,0,2,23027,0
2,1033,568,0,0,77166,0
3,1358,468,0,5,38283,0
3,1597,1035,1,0,86812,0
2,235,329,0,0,20131,0
2,552,400,0,0,16052,0
3,20115,149,3,1,7855,0
4,97561,1572,14916,9328,7841,0
3,944,412,0,0,51492,0
1,470,428,0,0,9049,0
2,2219,1584,0,0,84078,0
5,15984656,1,13804,22841,246,0
3,1943,813,0,0,61803,0
1,1013,750,0,0,5008,0
3,2639,1662,0,0,70131,0
5,12362351,1,196,466,103296,0
3,532,464,0,0,7079,0
2,321,283,0,0,6076,0
1,272,208,0,1,5458,0
4,1096567,1967,30,64,25052,0
3,27954,11211,1,2,15511,0
3,3397,994,0,0,73972,0
2,1253,847,0,0,49403,0
5,655545,605,726,1103,2628,0
2,3383,388,2,0,37999,0
3,15447,1015,2,2,43925,0
1,527,654,0,0,47033,0
3,17252,912,0,1,18407,0
3,19674,316,87,172,24732,0
3,1609,992,0,0,69045,0
2,2258,1464,0,0,76604,0
2,285,220,0,0,15607,0
5,688549,3,236,502,2436,0
1,406,229,0,0,454,0
3,2830,563,0,0,76252,0
5,256874,967,99,157,35810,0
3,52814,329,3,4,1994,0
1,224,290,0,0,2562,0
4,1065611,322,2189,3827,356,0
1,881,1474,0,0,6021,0
2,1921,1536,0,0,39989,0
4,347234,324,4,25,21002,0
3,1538,1430,0,0,79595,0
5,3110697,1102,5109,10100,2155,0
2,1625,1521,0,0,22897,0
2,692,1637,0,0,3550,0
1,449,495,0,0,31210,0
1,647,527,0,1,9684,0
2,723,397,0,0,23826,0
1,917,602,0,0,39469,0
2,920,801,0,0,12283,0
3,3035,879,0,0,111561,0
1,379,428,0,0,7422,0
5,4549706,70,247,442,33109,0
2,2084,238,0,0,26298,0
2,901,576,0,0,24297,0
5,588477,2368,263,315,71842,0
3,11044,1882,0,0,28130,0
1,740,511,0,0,10885,0
2,496,402,1,1,514,0
4,121213,301,2,7,7312,0
5,8038822,956,381,926,3502,0
3,5686,465,0,0,9570,0
1,2056,1607,0,0,53053,0
2,1692,1587,0,0,18419,0
1,352,497,0,0,6519,0
4,495410,902,19,66,12111,0
5,2470787,310,140,317,4138,0
2,325,794,0,0,2700,0
3,62269,3835,0,0,228229,0
3,19730,251,0,0,19808,0
4,444174,249,125,164,5074,0
1,107,134,0,0,1585,0
2,1667,1536,1,0,44617,0
2,759,827,0,0,31380,0
4,122653,628,1,1,29905,0
5,1688720,10754,61,76,122101,0
5,3000600,1380,10,16,137819,0
5,1152643,434,8,18,32631,0
3,8528,362,0,0,24289,0
2,771,854,0,0,32009,0
2,371,617,0,0,2998,0
3,190915,603,55,14,4015,0
5,1116988,45,33,138,287,0
1,1530,1101,0,0,40431,0
2,607,878,0,0,1678,0
2,2464,2776,0,0,88791,0
2,548,584,0,0,36268,0
4,174671,25,0,1,18986,0
5,13177064,31945,115,354,146897,0
4,164640,861,0,1,41164,0
2,2026,1561,0,0,39431,0
1,410,338,0,0,8008,0
3,9096,769,1,1,40131,0
1,126,124,0,0,2651,0
5,3914989,2262,46,146,33867,0
3,3955,2854,0,0,206162,0
4,1067441,135,137,139,60444,0
2,638,645,0,0,12096,0
1,95,99,0,0,1278,0
2,674,1270,0,0,3766,0
2,1467,1188,0,0,71480,0
1,216,165,0,0,3352,0
3,4951,1126,0,0,17656,0
4,5306319,1520,5806,4654,34575,0
2,569,481,0,0,39779,0
5,911522,474,6,23,42032,0
3,2327,2119,0,0,278319,0
2,601,285,0,0,8075,0
2,5196,5010,2,1,16040,0
4,1194009,268,69,132,2296,0
3,10873,981,1,1,2756,0
4,299081,765,49,100,6957,0
3,6602,1243,0,0,30351,0
5,1374400,838,11,24,49131,0
1,701,338,0,0,10519,0
2,930,530,1,1,33354,0
5,5054440,1090,223,813,30546,0
2,1153,1022,0,0,41341,0
1,1519,942,0,0,58355,0
2,4810,1326,0,0,31388,0
4,176642,46,227,229,1290,0
3,2757,1736,1,0,85061,0
3,8558,1078,1,1,97306,0
2,1589,1687,0,0,26456,0
3,8825,1843,1,0,76498,0
1,457,410,0,0,15535,0
1,1580,1975,0,0,10400,0
2,2740,2362,1,0,21781,0
2,1565,1123,0,0,42658,0
3,2804,706,0,3,106607,0
4,873641,151,2,4,55943,0
3,16289,15306,0,0,7675,0
2,137,493,0,0,3606,0
1,773,335,0,0,44300,0
5,1739555,655,192,445,9243,0
5,8558450,531,38,118,33093,0
2,3825,4263,0,0,41988,0
